Date;Région;Filière;Valeur (TWh)
2014-01;"Île-de-France";"Consommation brute";7,729821443514
2014-02;"Île-de-France";"Consommation brute";6,852540717934
2014-03;"Île-de-France";"Consommation brute";6,581024138855
2014-04;"Île-de-France";"Consommation brute";5,452647871427
2014-05;"Île-de-France";"Consommation brute";5,329635734029
2014-06;"Île-de-France";"Consommation brute";4,868863482667
2014-07;"Île-de-France";"Consommation brute";4,940822419375
2014-08;"Île-de-France";"Consommation brute";4,399373340021
2014-09;"Île-de-France";"Consommation brute";4,927456356978
2014-10;"Île-de-France";"Consommation brute";5,605546976612
2014-11;"Île-de-France";"Consommation brute";6,345869904918
2014-12;"Île-de-France";"Consommation brute";7,969688055505
2015-01;"Île-de-France";"Consommation brute";8,50106917118
2015-02;"Île-de-France";"Consommation brute";7,710683798605
2015-03;"Île-de-France";"Consommation brute";7,349275073519
2015-04;"Île-de-France";"Consommation brute";5,627491274927
2015-05;"Île-de-France";"Consommation brute";5,227687942029
2015-06;"Île-de-France";"Consommation brute";4,951531517833
2015-07;"Île-de-France";"Consommation brute";4,965488994208
2015-08;"Île-de-France";"Consommation brute";4,493310987353
2015-09;"Île-de-France";"Consommation brute";5,0202064591
2015-10;"Île-de-France";"Consommation brute";6,136230817279
2015-11;"Île-de-France";"Consommation brute";6,34305362981
2015-12;"Île-de-France";"Consommation brute";6,888929659184
2016-01;"Île-de-France";"Consommation brute";7,911483660815
2016-02;"Île-de-France";"Consommation brute";7,22781268645
2016-03;"Île-de-France";"Consommation brute";7,352723381834
2016-04;"Île-de-France";"Consommation brute";6,035129714818
2016-05;"Île-de-France";"Consommation brute";5,338522393142
2016-06;"Île-de-France";"Consommation brute";5,006320403932
2016-07;"Île-de-France";"Consommation brute";4,81064562768
2016-08;"Île-de-France";"Consommation brute";4,478698854945
2016-09;"Île-de-France";"Consommation brute";4,87817367364
2016-10;"Île-de-France";"Consommation brute";5,961297983596
2016-11;"Île-de-France";"Consommation brute";6,964198966782
2016-12;"Île-de-France";"Consommation brute";8,027265165709
2017-01;"Île-de-France";"Consommation brute";9,026957889302
2017-02;"Île-de-France";"Consommation brute";6,76596545887
2017-03;"Île-de-France";"Consommation brute";6,538435024098
2017-04;"Île-de-France";"Consommation brute";5,544759295724
2017-05;"Île-de-France";"Consommation brute";5,276930471524
2017-06;"Île-de-France";"Consommation brute";4,880167407833
2017-07;"Île-de-France";"Consommation brute";4,748039473343
2017-08;"Île-de-France";"Consommation brute";4,394004271405
2017-09;"Île-de-France";"Consommation brute";4,969763241421
2017-10;"Île-de-France";"Consommation brute";5,523443724171
2017-11;"Île-de-France";"Consommation brute";6,832443719978
2017-12;"Île-de-France";"Consommation brute";7,77652446222
2018-01;"Île-de-France";"Consommation brute";7,157813230879
2018-02;"Île-de-France";"Consommation brute";7,797377625397
2018-03;"Île-de-France";"Consommation brute";7,528851764959
2018-04;"Île-de-France";"Consommation brute";5,362471830305
2018-05;"Île-de-France";"Consommation brute";5,067761402552
2018-06;"Île-de-France";"Consommation brute";4,819159740159
2018-07;"Île-de-France";"Consommation brute";4,956292878601
2018-08;"Île-de-France";"Consommation brute";4,43054564666
2018-09;"Île-de-France";"Consommation brute";4,753153153567
2018-10;"Île-de-France";"Consommation brute";5,60192974908
2018-11;"Île-de-France";"Consommation brute";6,849997929002
2018-12;"Île-de-France";"Consommation brute";7,349822239379
2019-01;"Île-de-France";"Consommation brute";8,208853307834
2019-02;"Île-de-France";"Consommation brute";6,693029553963
2019-03;"Île-de-France";"Consommation brute";6,505699904369
2019-04;"Île-de-France";"Consommation brute";5,555929703254
