Date;Région;Filière;Valeur (TWh)
2014-01;Île-de-France;Autre;-1,70E-19
2014-02;Île-de-France;Autre;-1,70E-19
2014-03;Île-de-France;Autre;-5,74E-20
2014-04;Île-de-France;Autre;-1,16E-19
2014-05;Île-de-France;Autre;-7,35E-19
2014-06;Île-de-France;Autre;-5,30E-20
2014-07;Île-de-France;Autre;-8,90E-20
2014-08;Île-de-France;Autre;2,53E-20
2014-09;Île-de-France;Autre;-1,16E-19
2014-10;Île-de-France;Autre;-4,78E-20
2014-11;Île-de-France;Autre;-1,30E-19
2014-12;Île-de-France;Autre;-2,84E-19
2015-01;Île-de-France;Autre;1,72E-19
2015-02;Île-de-France;Autre;-5,69E-20
2015-03;Île-de-France;Autre;-2,15E-19
2015-04;Île-de-France;Autre;3,69E-19
2015-05;Île-de-France;Autre;-2,29E-19
2015-06;Île-de-France;Autre;-2,28E-19
2015-07;Île-de-France;Autre;1,98E-19
2015-08;Île-de-France;Autre;6,38E-19
2015-09;Île-de-France;Autre;6,26E-19
2015-10;Île-de-France;Autre;-1,58E-20
2015-11;Île-de-France;Autre;1,22E-18
2015-12;Île-de-France;Autre;4,27E-20
2016-01;Île-de-France;Autre;-4,55E-19
2016-02;Île-de-France;Autre;-3,98E-19
2016-03;Île-de-France;Autre;-2,15E-19
2016-04;Île-de-France;Autre;1,99E-19
2016-05;Île-de-France;Autre;1,46E-21
2016-06;Île-de-France;Autre;-1,00E-21
2016-07;Île-de-France;Autre;5,63E-20
2016-08;Île-de-France;Autre;-2,27E-19
2016-09;Île-de-France;Autre;-8,52E-20
2016-10;Île-de-France;Autre;1,43E-19
2016-11;Île-de-France;Autre;-4,84E-19
2016-12;Île-de-France;Autre;6,93E-20
2017-01;Île-de-France;Autre;0,000360282
2017-02;Île-de-France;Autre;0,000325416
2017-03;Île-de-France;Autre;0,000360292
2017-04;Île-de-France;Autre;0,00034866
2017-05;Île-de-France;Autre;0,000360282
2017-06;Île-de-France;Autre;0,00034866
2017-07;Île-de-France;Autre;0,000360282
2017-08;Île-de-France;Autre;0,000360282
2017-09;Île-de-France;Autre;0,00034866
2017-10;Île-de-France;Autre;0,00036027
2017-11;Île-de-France;Autre;0,00034866
2017-12;Île-de-France;Autre;0,000360282
2018-01;Île-de-France;Autre;0,00051956
2018-02;Île-de-France;Autre;0,00046928
2018-03;Île-de-France;Autre;0,000519573
2018-04;Île-de-France;Autre;0,0005028
2018-05;Île-de-France;Autre;0,00051956
2018-06;Île-de-France;Autre;0,0005238
2018-07;Île-de-France;Autre;0,00051956
2018-08;Île-de-France;Autre;0,00051956
2018-09;Île-de-France;Autre;0,0005028
2018-10;Île-de-France;Autre;0,000519544
2018-11;Île-de-France;Autre;0,0005028
2018-12;Île-de-France;Autre;0,000520676
2019-01;Île-de-France;Autre;4,49E-05
2019-02;Île-de-France;Autre;4,05E-05
2019-03;Île-de-France;Autre;4,49E-05
2019-04;Île-de-France;Autre;4,34E-05
2019-05;Île-de-France;Autre;4,49E-05
2019-06;Île-de-France;Autre;7,21E-05
2019-07;Île-de-France;Autre;4,49E-05
2019-08;Île-de-France;Autre;4,49E-05
2019-09;Île-de-France;Autre;4,34E-05
2019-10;Île-de-France;Autre;4,49E-05
2019-11;Île-de-France;Autre;4,34E-05
2019-12;Île-de-France;Autre;4,49E-05
2020-01;Île-de-France;Autre;4,49E-05
2020-02;Île-de-France;Autre;4,05E-05
2020-03;Île-de-France;Autre;4,49E-05
2020-04;Île-de-France;Autre;4,34E-05
2020-05;Île-de-France;Autre;4,49E-05
2020-06;Île-de-France;Autre;4,34E-05
2020-07;Île-de-France;Autre;4,49E-05
2020-08;Île-de-France;Autre;4,49E-05
2020-09;Île-de-France;Autre;4,34E-05
2020-10;Île-de-France;Autre;4,49E-05
