"geometry","annee","nom_iris","code_iris","type_iris","nom_commune","code_commune","nom_epci","code_epci","type_epci","nom_departement","code_departement","nom_region","code_region","domaine_de_tension","nb_sites_photovoltaique_enedis","energie_produite_annuelle_photovoltaique_enedis_mwh","nb_sites_eolien_enedis","energie_produite_annuelle_eolien_enedis_mwh","nb_sites_hydraulique_enedis","energie_produite_annuelle_hydraulique_enedis_mwh","nb_sites_bio_energie_enedis","energie_produite_annuelle_bio_energie_enedis_mwh","nb_sites_cogeneration_enedis","energie_produite_annuelle_cogeneration_enedis_mwh","nb_sites_autres_filieres_enedis","energie_produite_annuelle_autres_filieres_enedis_mwh","geom","geo_point_2d"
,2020,"Entre Route de Thouars et Route de Poitiers","861370102","H","Loudun","86137","CC du Pays Loudunais","248600447","CC","VIENNE","86","NOUVELLE AQUITAINE","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2016,"Non affecté","86062xxxx","_","Chasseneuil-du-Poitou","86062","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2016,"Za du Grand Large","862140105","A","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2016,"Futuroscope","860620102","A","Chasseneuil-du-Poitou","86062","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2020,"Les Facultés","861940404","H","Poitiers","86194","CU du Grand Poitiers","200069854","CU","VIENNE","86","NOUVELLE AQUITAINE","75","BT > 36 kVA","2","116.30998740420371",,,,,,,,,,,,
,2020,"Pointe à Miteau","861940204","A","Poitiers","86194","CU du Grand Poitiers","200069854","CU","VIENNE","86","NOUVELLE AQUITAINE","75","HTA","1","966.5383333333334",,,,,,,,,1,,,
,2016,"Saint-Eloi-Mandela","861940604","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","19","78.74562313872975",,,,,,,,,,,,
,2020,"Le Porteau","861940901","H","Poitiers","86194","CU du Grand Poitiers","200069854","CU","VIENNE","86","NOUVELLE AQUITAINE","75","BT <= 36 kVA","13","36.83676650438045",,,,,,,,,,,,
,2016,"Chantejeau","862140102","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","55.83264939227043",,,,,,,,,,,,
,2016,"Chantejeau","862140102","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2016,"Entre Rte de Poitiers et Rte de Chinon","861370103","H","Loudun","86137","CC du Pays Loudunais","248600447","CC","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
