id_logement,appareil_suivi,type,conso_an1_kwh,conso_an2_kwh
106,Audio_TV,Barre De Son,1.7,
302,Audio_TV,Barre De Son,22.2,16.7
311,Audio_TV,Barre De Son,14.7,13.0
410,Audio_TV,Barre De Son,7.8,7.8
608,Audio_TV,Barre De Son,7.9,7.5
808,Audio_TV,Barre De Son,0.8,
302,Audio_TV,Barre De Son 2,6.4,6.9
202,Audio_TV,Home Cinéma,10.0,14.0
209,Audio_TV,Home Cinéma,0.5,0.0
402,Audio_TV,Home Cinéma,18.7,1.2
405,Audio_TV,Home Cinéma,6.6,0.3
602,Audio_TV,Home Cinéma,1.1,1.1
1010,Audio_TV,Home Cinéma,59.3,115.6
121,Audio_TV,Barre De Son,,8.3
122,Audio_TV,Barre De Son,,21.0
823,Audio_TV,Barre De Son,,16.3
721,Audio_TV,Home Cinéma,,3.2
108,Bouilloires,,20.8,
201,Bouilloires,,1.6,
205,Bouilloires,,82.7,88.7
206,Bouilloires,,72.9,77.0
207,Bouilloires,,56.0,43.2
208,Bouilloires,,9.8,
210,Bouilloires,,96.2,99.1
301,Bouilloires,,15.1,16.5
303,Bouilloires,,43.9,41.7
309,Bouilloires,,40.9,33.9
310,Bouilloires,,45.2,52.5
311,Bouilloires,,34.2,42.5
401,Bouilloires,,33.5,
406,Bouilloires,,50.3,65.0
409,Bouilloires,,41.9,49.0
410,Bouilloires,,45.6,89.8
502,Bouilloires,,50.7,62.8
504,Bouilloires,,26.4,11.4
506,Bouilloires,,6.6,9.1
508,Bouilloires,,29.1,35.8
510,Bouilloires,,44.2,47.2
603,Bouilloires,,60.0,10.4
605,Bouilloires,,29.1,48.6
607,Bouilloires,,53.3,16.1
706,Bouilloires,,59.7,53.2
707,Bouilloires,,14.2,24.2
708,Bouilloires,,30.0,
802,Bouilloires,,0.4,
803,Bouilloires,,88.7,97.2
804,Bouilloires,,16.6,17.3
805,Bouilloires,,119.4,134.4
809,Bouilloires,,68.4,
909,Bouilloires,,103.4,85.0
911,Bouilloires,,66.4,49.7
1001,Bouilloires,,113.3,63.4
1002,Bouilloires,,59.5,66.2
1004,Bouilloires,,63.7,59.1
1005,Bouilloires,,36.8,45.9
1007,Bouilloires,,86.2,47.5
1011,Bouilloires,,62.2,51.8
101,Bouilloires,,,5.3
105,Bouilloires,,,173.5
107,Bouilloires,,,68.9
121,Bouilloires,,,45.1
320,Bouilloires,,,7.0
421,Bouilloires,,,59.4
101,Box Internet,,129.4,135.0
102,Box Internet,,76.8,85.4
103,Box Internet,,78.6,79.0
104,Box Internet,,96.4,
105,Box Internet,,49.6,52.5
106,Box Internet,,258.0,
107,Box Internet,,22.3,
108,Box Internet,,4.9,
109,Box Internet,,147.2,
110,Box Internet,,126.3,117.9
201,Box Internet,,38.3,38.3
202,Box Internet,,83.2,84.7
203,Box Internet,,15.5,17.2
204,Box Internet,,90.3,100.5
205,Box Internet,,95.3,87.3
206,Box Internet,,44.5,128.8
207,Box Internet,,55.4,55.2
208,Box Internet,,27.5,
209,Box Internet,,119.5,133.2
210,Box Internet,,141.9,80.5
301,Box Internet,,145.1,105.9
302,Box Internet,,59.9,54.2
303,Box Internet,,80.0,158.2
304,Box Internet,,66.6,
305,Box Internet,,152.5,145.4
306,Box Internet,,70.9,103.9
307,Box Internet,,72.6,
308,Box Internet,,83.5,83.9
309,Box Internet,,75.9,85.8
310,Box Internet,,22.7,41.6
311,Box Internet,,160.4,128.2
401,Box Internet,,101.7,
402,Box Internet,,30.9,59.3
403,Box Internet,,75.6,69.5
404,Box Internet,,87.4,82.8
405,Box Internet,,102.6,102.9
406,Box Internet,,221.5,114.6
407,Box Internet,,62.0,41.5
408,Box Internet,,71.7,
410,Box Internet,,121.4,98.3
501,Box Internet,,95.5,
502,Box Internet,,104.9,216.4
503,Box Internet,,64.2,67.5
504,Box Internet,,21.6,31.1
505,Box Internet,,76.5,59.2
506,Box Internet,,137.9,147.1
507,Box Internet,,72.4,75.8
508,Box Internet,,87.6,52.6
509,Box Internet,,159.7,
510,Box Internet,,109.0,95.1
601,Box Internet,,81.4,75.3
602,Box Internet,,194.8,149.4
603,Box Internet,,61.7,65.3
604,Box Internet,,204.1,192.3
605,Box Internet,,79.6,91.1
606,Box Internet,,49.4,67.1
607,Box Internet,,111.1,175.5
608,Box Internet,,73.9,78.1
701,Box Internet,,76.4,
702,Box Internet,,62.5,72.5
703,Box Internet,,76.8,78.4
704,Box Internet,,61.0,79.2
705,Box Internet,,146.2,186.2
706,Box Internet,,33.0,95.0
707,Box Internet,,58.5,68.9
708,Box Internet,,79.7,
709,Box Internet,,69.9,73.9
801,Box Internet,,51.4,47.2
802,Box Internet,,150.5,
803,Box Internet,,85.4,93.7
804,Box Internet,,106.9,85.0
805,Box Internet,,70.0,68.3
806,Box Internet,,70.6,70.4
807,Box Internet,,83.3,84.7
808,Box Internet,,151.8,
809,Box Internet,,57.5,
810,Box Internet,,85.2,52.5
902,Box Internet,,93.7,71.1
903,Box Internet,,203.7,89.1
904,Box Internet,,184.9,
905,Box Internet,,208.7,144.9
906,Box Internet,,26.2,
907,Box Internet,,92.0,146.6
908,Box Internet,,163.7,162.9
909,Box Internet,,48.4,20.1
910,Box Internet,,75.2,
911,Box Internet,,70.6,68.3
912,Box Internet,,71.9,75.3
1001,Box Internet,,74.1,212.2
1002,Box Internet,,73.9,80.3
1003,Box Internet,,63.6,80.7
1004,Box Internet,,47.6,48.6
1005,Box Internet,,209.5,209.0
1006,Box Internet,,159.3,163.6
1007,Box Internet,,200.8,215.5
1008,Box Internet,,154.0,
1009,Box Internet,,98.5,94.9
1010,Box Internet,,180.7,179.8
1011,Box Internet,,74.4,76.2
120,Box Internet,,,72.9
121,Box Internet,,,187.3
122,Box Internet,,,80.3
123,Box Internet,,,100.3
320,Box Internet,,,70.5
326,Box Internet,,,68.2
420,Box Internet,,,136.8
421,Box Internet,,,49.1
520,Box Internet,,,86.0
620,Box Internet,,,294.3
720,Box Internet,,,68.3
721,Box Internet,,,73.0
722,Box Internet,,,151.4
820,Box Internet,,,95.7
821,Box Internet,,,73.1
822,Box Internet,,,87.8
823,Box Internet,,,74.9
921,Box Internet,,,69.3
922,Box Internet,,,71.4
101,Box TV,,59.6,63.6
102,Box TV,,90.0,16.4
103,Box TV,,62.8,45.0
105,Box TV,,80.4,86.3
107,Box TV,,36.9,
109,Box TV,,158.8,
201,Box TV,,71.4,49.5
202,Box TV,,108.6,102.8
204,Box TV,,108.6,
204,Box TV,,108.6,
205,Box TV,,22.6,24.3
207,Box TV,,57.4,57.5
209,Box TV,,115.8,99.6
301,Box TV,,70.5,14.1
302,Box TV,,91.3,85.9
303,Box TV,,76.3,106.4
304,Box TV,,36.1,
306,Box TV,,85.4,85.5
307,Box TV,,38.5,
308,Box TV,,113.9,116.5
310,Box TV,,113.9,113.9
311,Box TV,,133.6,127.3
401,Box TV,,125.0,
401,Box TV,,125.0,
403,Box TV,,77.3,111.2
404,Box TV,,88.6,68.0
408,Box TV,,13.9,
410,Box TV,,60.7,38.8
502,Box TV,,130.2,61.5
503,Box TV,,62.6,60.0
506,Box TV,,94.1,68.0
507,Box TV,,92.4,86.7
508,Box TV,,73.5,61.5
509,Box TV,,126.0,
510,Box TV,,113.3,93.4
601,Box TV,,53.8,39.2
602,Box TV,,120.2,116.8
603,Box TV,,71.3,106.1
604,Box TV,,135.3,95.2
605,Box TV,,47.7,44.1
607,Box TV,,57.2,17.9
608,Box TV,,145.8,146.5
701,Box TV,,145.8,
702,Box TV,,46.7,43.7
703,Box TV,,72.4,34.5
704,Box TV,,123.5,122.2
705,Box TV,,18.3,12.8
706,Box TV,,27.6,111.7
707,Box TV,,68.5,67.3
708,Box TV,,86.7,
709,Box TV,,103.4,108.4
801,Box TV,,45.4,28.1
802,Box TV,,132.5,
803,Box TV,,6.0,146.8
804,Box TV,,124.2,141.2
806,Box TV,,54.2,58.7
807,Box TV,,109.0,112.4
902,Box TV,,111.5,34.8
903,Box TV,,103.9,10.9
904,Box TV,,115.3,
905,Box TV,,127.4,142.6
907,Box TV,,88.0,56.1
908,Box TV,,90.4,91.2
910,Box TV,,59.5,
911,Box TV,,114.0,135.6
912,Box TV,,29.8,12.5
1001,Box TV,,82.3,61.6
1002,Box TV,,158.7,179.2
1003,Box TV,,32.1,36.4
1005,Box TV,,116.1,111.9
1006,Box TV,,39.4,30.7
1007,Box TV,,40.1,
1008,Box TV,,120.4,
1010,Box TV,,107.0,91.7
1011,Box TV,,139.1,96.2
121,Box TV,,,9.7
122,Box TV,,,132.9
123,Box TV,,,106.1
320,Box TV,,,40.0
326,Box TV,,,45.2
402,Box TV,,,18.4
420,Box TV,,,96.2
421,Box TV,,,110.7
720,Box TV,,,86.6
721,Box TV,,,99.4
722,Box TV,,,155.4
820,Box TV,,,75.3
822,Box TV,,,151.5
823,Box TV,,,21.9
921,Box TV,,,59.4
921,Box TV,,,40.8
922,Box TV,,,124.0
101,Cafetière_expresso,,21.2,10.3
102,Cafetière_expresso,,29.1,15.7
104,Cafetière_expresso,,16.2,
105,Cafetière_expresso,,16.6,10.0
107,Cafetière_expresso,,52.1,
108,Cafetière_expresso,,31.3,
