year,region_code,region_name,filiere,production_mwh
2011,75,Nouvelle-Aquitaine,autres_filieres,0.0
2011,75,Nouvelle-Aquitaine,bio_energie,0.0
2011,75,Nouvelle-Aquitaine,cogeneration,37750.663
2011,75,Nouvelle-Aquitaine,eolien,0.0
2011,75,Nouvelle-Aquitaine,hydraulique,0.0
2011,75,Nouvelle-Aquitaine,photovoltaique,1027.797123144446
2012,75,Nouvelle-Aquitaine,autres_filieres,0.0
2012,75,Nouvelle-Aquitaine,bio_energie,0.0
2012,75,Nouvelle-Aquitaine,cogeneration,33849.675
2012,75,Nouvelle-Aquitaine,eolien,0.0
2012,75,Nouvelle-Aquitaine,hydraulique,0.0
2012,75,Nouvelle-Aquitaine,photovoltaique,1965.0394768930385
2013,75,Nouvelle-Aquitaine,autres_filieres,0.0
2013,75,Nouvelle-Aquitaine,bio_energie,0.0
2013,75,Nouvelle-Aquitaine,cogeneration,26844.784
2013,75,Nouvelle-Aquitaine,eolien,0.0
2013,75,Nouvelle-Aquitaine,hydraulique,0.0
2013,75,Nouvelle-Aquitaine,photovoltaique,2190.1508965600547
2014,75,Nouvelle-Aquitaine,autres_filieres,0.0
2014,75,Nouvelle-Aquitaine,bio_energie,0.0
2014,75,Nouvelle-Aquitaine,cogeneration,20616.303
2014,75,Nouvelle-Aquitaine,eolien,0.0
2014,75,Nouvelle-Aquitaine,hydraulique,0.0
2014,75,Nouvelle-Aquitaine,photovoltaique,2441.029534119321
2015,75,Nouvelle-Aquitaine,autres_filieres,0.0
2015,75,Nouvelle-Aquitaine,bio_energie,0.0
2015,75,Nouvelle-Aquitaine,cogeneration,18850.998
2015,75,Nouvelle-Aquitaine,eolien,0.0
2015,75,Nouvelle-Aquitaine,hydraulique,0.0
2015,75,Nouvelle-Aquitaine,photovoltaique,2697.1904222814283
2016,75,Nouvelle-Aquitaine,autres_filieres,0.0
2016,75,Nouvelle-Aquitaine,bio_energie,0.0
2016,75,Nouvelle-Aquitaine,cogeneration,16887.03
2016,75,Nouvelle-Aquitaine,eolien,0.0
2016,75,Nouvelle-Aquitaine,hydraulique,0.0
2016,75,Nouvelle-Aquitaine,photovoltaique,2839.029988663089
2017,75,Nouvelle-Aquitaine,autres_filieres,0.0
2017,75,Nouvelle-Aquitaine,bio_energie,0.0
2017,75,Nouvelle-Aquitaine,cogeneration,32484.63
2017,75,Nouvelle-Aquitaine,eolien,0.0
2017,75,Nouvelle-Aquitaine,hydraulique,0.0
2017,75,Nouvelle-Aquitaine,photovoltaique,9317.621
2018,75,Nouvelle-Aquitaine,autres_filieres,0.0
2018,75,Nouvelle-Aquitaine,bio_energie,0.0
2018,75,Nouvelle-Aquitaine,cogeneration,46911.8385
2018,75,Nouvelle-Aquitaine,eolien,0.0
2018,75,Nouvelle-Aquitaine,hydraulique,0.0
2018,75,Nouvelle-Aquitaine,photovoltaique,10019.660991413555
2019,75,Nouvelle-Aquitaine,autres_filieres,0.0
2019,75,Nouvelle-Aquitaine,bio_energie,0.0
2019,75,Nouvelle-Aquitaine,cogeneration,41380.9219995
2019,75,Nouvelle-Aquitaine,eolien,0.0
2019,75,Nouvelle-Aquitaine,hydraulique,0.0
2019,75,Nouvelle-Aquitaine,photovoltaique,11467.564965812904
2020,75,NOUVELLE AQUITAINE,autres_filieres,0.0
2020,75,NOUVELLE AQUITAINE,bio_energie,213.35
2020,75,NOUVELLE AQUITAINE,cogeneration,41675.9194165
2020,75,NOUVELLE AQUITAINE,eolien,0.0
2020,75,NOUVELLE AQUITAINE,hydraulique,0.0
2020,75,NOUVELLE AQUITAINE,photovoltaique,12513.450323587187
2021,75,Nouvelle-Aquitaine,autres_filieres,0.0
2021,75,Nouvelle-Aquitaine,bio_energie,1296.7645
2021,75,Nouvelle-Aquitaine,cogeneration,36464.17516666667
2021,75,Nouvelle-Aquitaine,eolien,0.0
2021,75,Nouvelle-Aquitaine,hydraulique,0.0
2021,75,Nouvelle-Aquitaine,photovoltaique,13037.748687584914
2022,75,Nouvelle-Aquitaine,autres_filieres,0.0
2022,75,Nouvelle-Aquitaine,bio_energie,1416.34
2022,75,Nouvelle-Aquitaine,cogeneration,40216.212999999996
2022,75,Nouvelle-Aquitaine,eolien,0.0
2022,75,Nouvelle-Aquitaine,hydraulique,0.0
2022,75,Nouvelle-Aquitaine,photovoltaique,13803.813
