year,region_code,region_name,electricite,gaz,habitants,production_totale_mwh,autres_filieres,bio_energie,cogeneration,eolien,hydraulique,photovoltaique,conso_elec_par_habitant_kwh,ratio_prod_sur_conso_elec,part_photovoltaique_pct,part_eolien_pct,part_hydraulique_pct,part_bio_energie_pct,part_cogeneration_pct,part_autres_filieres_pct
2011,11,Île-de-France,58843199.4,74617031.13,,,,,,,,,,,,,,,,
2011,24,Centre-Val de Loire,14542099.46,16537527.870000001,,,,,,,,,,,,,,,,
2011,27,Bourgogne-Franche-Comté,15996892.799999999,20399729.02,,,,,,,,,,,,,,,,
2011,28,Normandie,19928525.26,44170577.33,,,,,,,,,,,,,,,,
2011,32,Hauts-de-France,29800200.560000002,71703354.06,,,,,,,,,,,,,,,,
2011,44,Grand Est,24015651.59,64814864.809999995,,,,,,,,,,,,,,,,
2011,52,Pays de la Loire,21532662.29,22828903.83,,,,,,,,,,,,,,,,
2011,53,Bretagne,19247192.6,14107171.02,,,,,,,,,,,,,,,,
2011,75,Nouvelle-Aquitaine,29847764.58,25779921.26,,38778.46012314445,0.0,0.0,37750.663,0.0,0.0,1027.797123144446,,0.0012992081875749118,2.6504330493799517,0.0,0.0,0.0,97.34956695062004,0.0
2011,76,Occitanie,34632683.69,20651423.39,,,,,,,,,,,,,,,,
2011,84,Auvergne-Rhône-Alpes,44608181.986999996,51995515.14,,,,,,,,,,,,,,,,
2011,93,Provence-Alpes-Côte d'Azur,28200535.98,37504533.55,,,,,,,,,,,,,,,,
2012,1,Guadeloupe,0.0,,,,,,,,,,,,,,,,,
2012,2,Martinique,0.0,,,,,,,,,,,,,,,,,
2012,3,Guyane,0.0,,,,,,,,,,,,,,,,,
2012,4,La Réunion,0.0,,,,,,,,,,,,,,,,,
2012,11,Île-de-France,68734371.55,83017318.6,,,,,,,,,,,,,,,,
2012,24,Centre-Val de Loire,16524754.290000001,17770129.439999998,,,,,,,,,,,,,,,,
2012,27,Bourgogne-Franche-Comté,19404998.35,21559138.13,,,,,,,,,,,,,,,,
2012,28,Normandie,25400428.43,42652767.879999995,,,,,,,,,,,,,,,,
2012,32,Hauts-de-France,44826918.56,70608151.86,,,,,,,,,,,,,,,,
2012,44,Grand Est,35536464.1,63618672.55,,,,,,,,,,,,,,,,
